Op 0:  IFM: 27648  OFM: 73728  Buf: 0  Total: 101376
Op 1:  IFM: 73728  OFM: 36864  Buf: 0  Total: 110592
Op 2:  IFM: 36864  OFM: 3456  Buf: 0  Total: 40320
Op 3:  IFM: 3456  OFM: 3456  Buf: 36864  Total: 43776
Op 4:  IFM: 36864  OFM: 3456  Buf: 3456  Total: 43776
Op 5:  IFM: 3456  OFM: 3456  Buf: 40320  Total: 47232
Op 6:  IFM: 3456  OFM: 3456  Buf: 40320  Total: 47232
Op 7:  IFM: 3456  OFM: 3456  Buf: 40320  Total: 47232
Op 8:  IFM: 36864  OFM: 3456  Buf: 6912  Total: 47232
Op 9:  IFM: 3456  OFM: 3456  Buf: 43776  Total: 50688
Op 10:  IFM: 3456  OFM: 3456  Buf: 43776  Total: 50688
Op 11:  IFM: 36864  OFM: 40000  Buf: 10368  Total: 87232
Op 12:  IFM: 40000  OFM: 36864  Buf: 10368  Total: 87232
Op 13:  IFM: 36864  OFM: 3456  Buf: 10368  Total: 50688
Op 14:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 15:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 16:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 17:  IFM: 13824  OFM: 3456  Buf: 0  Total: 17280
Op 18:  IFM: 3456  OFM: 3456  Buf: 13824  Total: 20736
Op 19:  IFM: 13824  OFM: 3456  Buf: 3456  Total: 20736
Op 20:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 21:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 22:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 23:  IFM: 13824  OFM: 3456  Buf: 6912  Total: 24192
Op 24:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 25:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 26:  IFM: 13824  OFM: 16224  Buf: 10368  Total: 40416
Op 27:  IFM: 16224  OFM: 13824  Buf: 10368  Total: 40416
Op 28:  IFM: 13824  OFM: 3456  Buf: 10368  Total: 27648
Op 29:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 30:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 31:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 32:  IFM: 13824  OFM: 3456  Buf: 0  Total: 17280
Op 33:  IFM: 3456  OFM: 3456  Buf: 13824  Total: 20736
Op 34:  IFM: 13824  OFM: 3456  Buf: 3456  Total: 20736
Op 35:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 36:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 37:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 38:  IFM: 13824  OFM: 3456  Buf: 6912  Total: 24192
Op 39:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 40:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 41:  IFM: 13824  OFM: 16224  Buf: 10368  Total: 40416
Op 42:  IFM: 16224  OFM: 13824  Buf: 10368  Total: 40416
Op 43:  IFM: 13824  OFM: 3456  Buf: 10368  Total: 27648
Op 44:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 45:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 46:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 47:  IFM: 13824  OFM: 6912  Buf: 0  Total: 20736
Op 48:  IFM: 6912  OFM: 6912  Buf: 13824  Total: 27648
Op 49:  IFM: 13824  OFM: 6912  Buf: 6912  Total: 27648
Op 50:  IFM: 6912  OFM: 6912  Buf: 20736  Total: 34560
Op 51:  IFM: 6912  OFM: 6912  Buf: 20736  Total: 34560
Op 52:  IFM: 6912  OFM: 6912  Buf: 20736  Total: 34560
Op 53:  IFM: 13824  OFM: 6912  Buf: 13824  Total: 34560
Op 54:  IFM: 6912  OFM: 6912  Buf: 27648  Total: 41472
Op 55:  IFM: 6912  OFM: 6912  Buf: 27648  Total: 41472
Op 56:  IFM: 13824  OFM: 16224  Buf: 20736  Total: 50784
Op 57:  IFM: 16224  OFM: 13824  Buf: 20736  Total: 50784
Op 58:  IFM: 13824  OFM: 6912  Buf: 20736  Total: 41472
Op 59:  IFM: 6912  OFM: 6912  Buf: 20736  Total: 34560
Op 60:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 61:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 62:  IFM: 27648  OFM: 6912  Buf: 0  Total: 34560
Op 63:  IFM: 6912  OFM: 6912  Buf: 27648  Total: 41472
Op 64:  IFM: 27648  OFM: 6912  Buf: 6912  Total: 41472
Op 65:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 66:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 67:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 68:  IFM: 27648  OFM: 6912  Buf: 13824  Total: 48384
Op 69:  IFM: 6912  OFM: 6912  Buf: 41472  Total: 55296
Op 70:  IFM: 6912  OFM: 6912  Buf: 41472  Total: 55296
Op 71:  IFM: 27648  OFM: 32448  Buf: 20736  Total: 80832
Op 72:  IFM: 32448  OFM: 27648  Buf: 20736  Total: 80832
Op 73:  IFM: 27648  OFM: 6912  Buf: 20736  Total: 55296
Op 74:  IFM: 6912  OFM: 6912  Buf: 20736  Total: 34560
Op 75:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 76:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 77:  IFM: 27648  OFM: 192  Buf: 0  Total: 27840
Op 78:  IFM: 192  OFM: 192  Buf: 0  Total: 384
Op 79:  IFM: 192  OFM: 100  Buf: 0  Total: 292
  Peak Memory Usage: Op 1 : 110592
  Op which_over_mem_cons: []

