Op 0:  IFM: 49152  OFM: 131072  Buf: 0  Total: 180224
Op 1:  IFM: 131072  OFM: 65536  Buf: 0  Total: 196608
Op 2:  IFM: 65536  OFM: 9216  Buf: 0  Total: 74752
Op 3:  IFM: 9216  OFM: 9216  Buf: 65536  Total: 83968
Op 4:  IFM: 65536  OFM: 9216  Buf: 9216  Total: 83968
Op 5:  IFM: 9216  OFM: 9216  Buf: 74752  Total: 93184
Op 6:  IFM: 9216  OFM: 9216  Buf: 74752  Total: 93184
Op 7:  IFM: 9216  OFM: 9216  Buf: 74752  Total: 93184
Op 8:  IFM: 65536  OFM: 9216  Buf: 18432  Total: 93184
Op 9:  IFM: 9216  OFM: 9216  Buf: 83968  Total: 102400
Op 10:  IFM: 9216  OFM: 9216  Buf: 83968  Total: 102400
Op 11:  IFM: 65536  OFM: 69696  Buf: 27648  Total: 162880
Op 12:  IFM: 69696  OFM: 65536  Buf: 27648  Total: 162880
Op 13:  IFM: 65536  OFM: 9216  Buf: 27648  Total: 102400
Op 14:  IFM: 9216  OFM: 9216  Buf: 27648  Total: 46080
Op 15:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 16:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 17:  IFM: 36864  OFM: 9216  Buf: 0  Total: 46080
Op 18:  IFM: 9216  OFM: 9216  Buf: 36864  Total: 55296
Op 19:  IFM: 36864  OFM: 9216  Buf: 9216  Total: 55296
Op 20:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 21:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 22:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 23:  IFM: 36864  OFM: 9216  Buf: 18432  Total: 64512
Op 24:  IFM: 9216  OFM: 9216  Buf: 55296  Total: 73728
Op 25:  IFM: 9216  OFM: 9216  Buf: 55296  Total: 73728
Op 26:  IFM: 36864  OFM: 41616  Buf: 27648  Total: 106128
Op 27:  IFM: 41616  OFM: 36864  Buf: 27648  Total: 106128
Op 28:  IFM: 36864  OFM: 9216  Buf: 27648  Total: 73728
Op 29:  IFM: 9216  OFM: 9216  Buf: 27648  Total: 46080
Op 30:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 31:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 32:  IFM: 36864  OFM: 18432  Buf: 0  Total: 55296
Op 33:  IFM: 18432  OFM: 18432  Buf: 36864  Total: 73728
Op 34:  IFM: 36864  OFM: 18432  Buf: 18432  Total: 73728
Op 35:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 36:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 37:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 38:  IFM: 36864  OFM: 18432  Buf: 36864  Total: 92160
Op 39:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 40:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 41:  IFM: 36864  OFM: 41616  Buf: 55296  Total: 133776
Op 42:  IFM: 41616  OFM: 36864  Buf: 55296  Total: 133776
Op 43:  IFM: 36864  OFM: 18432  Buf: 55296  Total: 110592
Op 44:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 45:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 46:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 47:  IFM: 73728  OFM: 18432  Buf: 0  Total: 92160
Op 48:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 49:  IFM: 73728  OFM: 18432  Buf: 18432  Total: 110592
Op 50:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 51:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 52:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 53:  IFM: 73728  OFM: 18432  Buf: 36864  Total: 129024
Op 54:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 55:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 56:  IFM: 73728  OFM: 83232  Buf: 55296  Total: 212256
Op 57:  IFM: 83232  OFM: 73728  Buf: 55296  Total: 212256
Op 58:  IFM: 73728  OFM: 18432  Buf: 55296  Total: 147456
Op 59:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 60:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 61:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 62:  IFM: 73728  OFM: 18432  Buf: 0  Total: 92160
Op 63:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 64:  IFM: 73728  OFM: 18432  Buf: 18432  Total: 110592
Op 65:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 66:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 67:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 68:  IFM: 73728  OFM: 18432  Buf: 36864  Total: 129024
Op 69:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 70:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 71:  IFM: 73728  OFM: 83232  Buf: 55296  Total: 212256
Op 72:  IFM: 83232  OFM: 73728  Buf: 55296  Total: 212256
Op 73:  IFM: 73728  OFM: 18432  Buf: 55296  Total: 147456
Op 74:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 75:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 76:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 77:  IFM: 73728  OFM: 18432  Buf: 0  Total: 92160
Op 78:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 79:  IFM: 73728  OFM: 18432  Buf: 18432  Total: 110592
Op 80:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 81:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 82:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 83:  IFM: 73728  OFM: 18432  Buf: 36864  Total: 129024
Op 84:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 85:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 86:  IFM: 73728  OFM: 83232  Buf: 55296  Total: 212256
Op 87:  IFM: 83232  OFM: 73728  Buf: 55296  Total: 212256
Op 88:  IFM: 73728  OFM: 18432  Buf: 55296  Total: 147456
Op 89:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 90:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 91:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 92:  IFM: 73728  OFM: 18432  Buf: 0  Total: 92160
Op 93:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 94:  IFM: 73728  OFM: 18432  Buf: 18432  Total: 110592
Op 95:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 96:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 97:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 98:  IFM: 73728  OFM: 18432  Buf: 36864  Total: 129024
Op 99:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 100:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 101:  IFM: 73728  OFM: 93312  Buf: 55296  Total: 222336
Op 102:  IFM: 93312  OFM: 73728  Buf: 55296  Total: 222336
Op 103:  IFM: 73728  OFM: 18432  Buf: 55296  Total: 147456
Op 104:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 105:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 106:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 107:  IFM: 73728  OFM: 288  Buf: 0  Total: 74016
Op 108:  IFM: 288  OFM: 288  Buf: 0  Total: 576
Op 109:  IFM: 288  OFM: 100  Buf: 0  Total: 388
  Peak Memory Usage: Op 101 : 222336
  Op which_over_mem_cons: []

