Op 0:  IFM: 3072  OFM: 8192  Buf: 0  Total: 11264
Op 1:  IFM: 8192  OFM: 4096  Buf: 0  Total: 12288
Op 2:  IFM: 4096  OFM: 384  Buf: 0  Total: 4480
Op 3:  IFM: 384  OFM: 384  Buf: 4096  Total: 4864
Op 4:  IFM: 4096  OFM: 384  Buf: 384  Total: 4864
Op 5:  IFM: 384  OFM: 384  Buf: 4480  Total: 5248
Op 6:  IFM: 384  OFM: 384  Buf: 4480  Total: 5248
Op 7:  IFM: 384  OFM: 384  Buf: 4480  Total: 5248
Op 8:  IFM: 4096  OFM: 384  Buf: 768  Total: 5248
Op 9:  IFM: 384  OFM: 384  Buf: 4864  Total: 5632
Op 10:  IFM: 384  OFM: 384  Buf: 4864  Total: 5632
Op 11:  IFM: 4096  OFM: 5184  Buf: 1152  Total: 10432
Op 12:  IFM: 5184  OFM: 4096  Buf: 1152  Total: 10432
Op 13:  IFM: 4096  OFM: 384  Buf: 1152  Total: 5632
Op 14:  IFM: 384  OFM: 384  Buf: 1152  Total: 1920
Op 15:  IFM: 1536  OFM: 1536  Buf: 0  Total: 3072
Op 16:  IFM: 1536  OFM: 1536  Buf: 0  Total: 3072
Op 17:  IFM: 1536  OFM: 384  Buf: 0  Total: 1920
Op 18:  IFM: 384  OFM: 384  Buf: 1536  Total: 2304
Op 19:  IFM: 1536  OFM: 384  Buf: 384  Total: 2304
Op 20:  IFM: 384  OFM: 384  Buf: 1920  Total: 2688
Op 21:  IFM: 384  OFM: 384  Buf: 1920  Total: 2688
Op 22:  IFM: 384  OFM: 384  Buf: 1920  Total: 2688
Op 23:  IFM: 1536  OFM: 384  Buf: 768  Total: 2688
Op 24:  IFM: 384  OFM: 384  Buf: 2304  Total: 3072
Op 25:  IFM: 384  OFM: 384  Buf: 2304  Total: 3072
Op 26:  IFM: 1536  OFM: 2400  Buf: 1152  Total: 5088
Op 27:  IFM: 2400  OFM: 1536  Buf: 1152  Total: 5088
Op 28:  IFM: 1536  OFM: 384  Buf: 1152  Total: 3072
Op 29:  IFM: 384  OFM: 384  Buf: 1152  Total: 1920
Op 30:  IFM: 1536  OFM: 1536  Buf: 0  Total: 3072
Op 31:  IFM: 1536  OFM: 1536  Buf: 0  Total: 3072
Op 32:  IFM: 1536  OFM: 384  Buf: 0  Total: 1920
Op 33:  IFM: 384  OFM: 384  Buf: 1536  Total: 2304
Op 34:  IFM: 1536  OFM: 384  Buf: 384  Total: 2304
Op 35:  IFM: 384  OFM: 384  Buf: 1920  Total: 2688
Op 36:  IFM: 384  OFM: 384  Buf: 1920  Total: 2688
Op 37:  IFM: 384  OFM: 384  Buf: 1920  Total: 2688
Op 38:  IFM: 1536  OFM: 384  Buf: 768  Total: 2688
Op 39:  IFM: 384  OFM: 384  Buf: 2304  Total: 3072
Op 40:  IFM: 384  OFM: 384  Buf: 2304  Total: 3072
Op 41:  IFM: 1536  OFM: 2400  Buf: 1152  Total: 5088
Op 42:  IFM: 2400  OFM: 1536  Buf: 1152  Total: 5088
Op 43:  IFM: 1536  OFM: 384  Buf: 1152  Total: 3072
Op 44:  IFM: 384  OFM: 384  Buf: 1152  Total: 1920
Op 45:  IFM: 1536  OFM: 1536  Buf: 0  Total: 3072
Op 46:  IFM: 1536  OFM: 1536  Buf: 0  Total: 3072
Op 47:  IFM: 1536  OFM: 768  Buf: 0  Total: 2304
Op 48:  IFM: 768  OFM: 768  Buf: 1536  Total: 3072
Op 49:  IFM: 1536  OFM: 768  Buf: 768  Total: 3072
Op 50:  IFM: 768  OFM: 768  Buf: 2304  Total: 3840
Op 51:  IFM: 768  OFM: 768  Buf: 2304  Total: 3840
Op 52:  IFM: 768  OFM: 768  Buf: 2304  Total: 3840
Op 53:  IFM: 1536  OFM: 768  Buf: 1536  Total: 3840
Op 54:  IFM: 768  OFM: 768  Buf: 3072  Total: 4608
Op 55:  IFM: 768  OFM: 768  Buf: 3072  Total: 4608
Op 56:  IFM: 1536  OFM: 2400  Buf: 2304  Total: 6240
Op 57:  IFM: 2400  OFM: 1536  Buf: 2304  Total: 6240
Op 58:  IFM: 1536  OFM: 768  Buf: 2304  Total: 4608
Op 59:  IFM: 768  OFM: 768  Buf: 2304  Total: 3840
Op 60:  IFM: 3072  OFM: 3072  Buf: 0  Total: 6144
Op 61:  IFM: 3072  OFM: 3072  Buf: 0  Total: 6144
Op 62:  IFM: 3072  OFM: 3072  Buf: 0  Total: 6144
Op 63:  IFM: 3072  OFM: 3072  Buf: 3072  Total: 9216
Op 64:  IFM: 3072  OFM: 3072  Buf: 3072  Total: 9216
Op 65:  IFM: 3072  OFM: 3072  Buf: 6144  Total: 12288
Op 66:  IFM: 3072  OFM: 3072  Buf: 6144  Total: 12288
Op 67:  IFM: 3072  OFM: 3072  Buf: 6144  Total: 12288
Op 68:  IFM: 3072  OFM: 3072  Buf: 6144  Total: 12288
Op 69:  IFM: 3072  OFM: 3072  Buf: 9216  Total: 15360
Op 70:  IFM: 3072  OFM: 3072  Buf: 9216  Total: 15360
Op 71:  IFM: 3072  OFM: 4800  Buf: 9216  Total: 17088
Op 72:  IFM: 4800  OFM: 3072  Buf: 9216  Total: 17088
Op 73:  IFM: 3072  OFM: 3072  Buf: 9216  Total: 15360
Op 74:  IFM: 3072  OFM: 3072  Buf: 9216  Total: 15360
Op 75:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 76:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 77:  IFM: 12288  OFM: 3072  Buf: 0  Total: 15360
Op 78:  IFM: 3072  OFM: 3072  Buf: 12288  Total: 18432
Op 79:  IFM: 12288  OFM: 3072  Buf: 3072  Total: 18432
Op 80:  IFM: 3072  OFM: 3072  Buf: 15360  Total: 21504
Op 81:  IFM: 3072  OFM: 3072  Buf: 15360  Total: 21504
Op 82:  IFM: 3072  OFM: 3072  Buf: 15360  Total: 21504
Op 83:  IFM: 12288  OFM: 3072  Buf: 6144  Total: 21504
Op 84:  IFM: 3072  OFM: 3072  Buf: 18432  Total: 24576
Op 85:  IFM: 3072  OFM: 3072  Buf: 18432  Total: 24576
Op 86:  IFM: 12288  OFM: 19200  Buf: 9216  Total: 40704
Op 87:  IFM: 19200  OFM: 12288  Buf: 9216  Total: 40704
Op 88:  IFM: 12288  OFM: 3072  Buf: 9216  Total: 24576
Op 89:  IFM: 3072  OFM: 3072  Buf: 9216  Total: 15360
Op 90:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 91:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 92:  IFM: 12288  OFM: 3072  Buf: 0  Total: 15360
Op 93:  IFM: 3072  OFM: 3072  Buf: 12288  Total: 18432
Op 94:  IFM: 12288  OFM: 3072  Buf: 3072  Total: 18432
Op 95:  IFM: 3072  OFM: 3072  Buf: 15360  Total: 21504
Op 96:  IFM: 3072  OFM: 3072  Buf: 15360  Total: 21504
Op 97:  IFM: 3072  OFM: 3072  Buf: 15360  Total: 21504
Op 98:  IFM: 12288  OFM: 3072  Buf: 6144  Total: 21504
Op 99:  IFM: 3072  OFM: 3072  Buf: 18432  Total: 24576
Op 100:  IFM: 3072  OFM: 3072  Buf: 18432  Total: 24576
Op 101:  IFM: 12288  OFM: 19200  Buf: 9216  Total: 40704
Op 102:  IFM: 19200  OFM: 12288  Buf: 9216  Total: 40704
Op 103:  IFM: 12288  OFM: 3072  Buf: 9216  Total: 24576
Op 104:  IFM: 3072  OFM: 3072  Buf: 9216  Total: 15360
Op 105:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 106:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 107:  IFM: 12288  OFM: 192  Buf: 0  Total: 12480
Op 108:  IFM: 192  OFM: 192  Buf: 0  Total: 384
Op 109:  IFM: 192  OFM: 100  Buf: 0  Total: 292
  Peak Memory Usage: Op 86 : 40704
  Op which_over_mem_cons: []

