wm,ir,name,cpb,max_features,flops_sum
0.25,64,incept-im100-vm96-tinyts,"[[2, 5, 1, 1], [1, 3, 2, 1], [2, 7, 3, 1]]",265482,20799936
0.25,96,incept-im100-vm96-patchts,"[[2, 5, 2, 1], [1, 5, 2, 1], [2, 5, 3, 1]]",185772,36659904
0.5,32,incept-im100-vm96-nots,"[[2, 7, 3, 1], [1, 5, 1, 1], [1, 3, 3, 1]]",462552,27855744
0.5,96,incept-im100-vm128-tinyts,"[[2, 7, 3, 1], [1, 3, 1, 1], [2, 5, 1, 1]]",260568,51132288
0.5,96,incept-im100-vm256-tinyts,"[[1, 5, 1, 1], [2, 7, 3, 1], [1, 3, 3, 1]]",498024,276325248
0.5,128,incept-im100-vm128-dupnas,"[[2, 5, 2, 1], [1, 3, 3, 1], [2, 5, 2, 1]]",478848,153048960
0.5,128,incept-im100-vm128-patchts,"[[2, 5, 3, 1], [2, 7, 2, 1], [1, 7, 1, 1]]",397848,115816320
0.75,32,incept-im100-vm128-nots,"[[1, 7, 2, 1], [2, 3, 1, 1], [1, 3, 3, 1]]",981012,64020288
0.75,64,incept-im100-vm256-nots,"[[1, 5, 3, 1], [2, 3, 1, 1], [1, 7, 1, 1]]",788502,207080256
0.75,96,incept-im100-vm96-dupnas,"[[2, 3, 2, 1], [1, 3, 2, 1], [2, 3, 2, 1]]",684012,119048256
0.75,128,incept-im100-vm256-dupnas,"[[1, 5, 2, 1], [2, 7, 2, 1], [2, 3, 2, 1]]",741036,314778432
0.75,128,incept-im100-vm256-patchts,"[[2, 5, 2, 1], [1, 5, 3, 1], [2, 3, 2, 1]]",739812,268366656
