model,mode,vmsize,time_ms,status
incept-im100-vm96-dupnas_w0.75_ir96,dupnas,96,3022,ok
incept-im100-vm96-nots_w0.5_ir32,nots,96,3283,ok
incept-im100-vm96-patchts_w0.25_ir96,patchts,96,3258,ok
incept-im100-vm96-tinyts_w0.25_ir64,tinyts,96,3094,ok
incept-im100-vm128-dupnas_w0.5_ir128,dupnas,128,3392,ok
incept-im100-vm128-nots_w0.75_ir32,nots,128,3064,ok
incept-im100-vm128-patchts_w0.5_ir128,patchts,128,3054,ok
incept-im100-vm128-tinyts_w0.5_ir96,tinyts,128,3561,ok
incept-im100-vm256-dupnas_w0.75_ir128,dupnas,256,3093,ok
incept-im100-vm256-nots_w0.75_ir64,nots,256,2950,ok
incept-im100-vm256-patchts_w0.75_ir128,patchts,256,3308,ok
incept-im100-vm256-tinyts_w0.5_ir96,tinyts,256,3247,ok
