Op 0:  IFM: 27648  OFM: 147456  Buf: 0  Total: 175104
Op 1:  IFM: 147456  OFM: 36864  Buf: 0  Total: 184320
Op 2:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 3:  IFM: 36864  OFM: 13824  Buf: 0  Total: 50688
Op 4:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 5:  IFM: 13824  OFM: 110592  Buf: 0  Total: 124416
Op 6:  IFM: 110592  OFM: 110592  Buf: 13824  Total: 235008
Op 7:  IFM: 110592  OFM: 110592  Buf: 13824  Total: 235008
Op 8:  IFM: 110592  OFM: 110592  Buf: 13824  Total: 235008
Op 9:  IFM: 110592  OFM: 13824  Buf: 13824  Total: 138240
Op 10:  IFM: 27648  OFM: 13824  Buf: 0  Total: 41472
Op 11:  IFM: 13824  OFM: 27648  Buf: 0  Total: 41472
Op 12:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 13:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 14:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 15:  IFM: 27648  OFM: 13824  Buf: 0  Total: 41472
Op 16:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 17:  IFM: 13824  OFM: 82944  Buf: 0  Total: 96768
Op 18:  IFM: 82944  OFM: 82944  Buf: 13824  Total: 179712
Op 19:  IFM: 82944  OFM: 82944  Buf: 13824  Total: 179712
Op 20:  IFM: 82944  OFM: 82944  Buf: 13824  Total: 179712
Op 21:  IFM: 82944  OFM: 13824  Buf: 13824  Total: 110592
Op 22:  IFM: 27648  OFM: 13824  Buf: 0  Total: 41472
Op 23:  IFM: 13824  OFM: 27648  Buf: 0  Total: 41472
Op 24:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 25:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 26:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 27:  IFM: 27648  OFM: 13824  Buf: 0  Total: 41472
Op 28:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 29:  IFM: 13824  OFM: 82944  Buf: 0  Total: 96768
Op 30:  IFM: 82944  OFM: 82944  Buf: 13824  Total: 179712
Op 31:  IFM: 82944  OFM: 82944  Buf: 13824  Total: 179712
Op 32:  IFM: 82944  OFM: 82944  Buf: 13824  Total: 179712
Op 33:  IFM: 82944  OFM: 13824  Buf: 13824  Total: 110592
Op 34:  IFM: 27648  OFM: 13824  Buf: 0  Total: 41472
Op 35:  IFM: 13824  OFM: 27648  Buf: 0  Total: 41472
Op 36:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 37:  IFM: 27648  OFM: 6912  Buf: 0  Total: 34560
Op 38:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 39:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 40:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 41:  IFM: 6912  OFM: 41472  Buf: 0  Total: 48384
Op 42:  IFM: 41472  OFM: 41472  Buf: 6912  Total: 89856
Op 43:  IFM: 41472  OFM: 41472  Buf: 6912  Total: 89856
Op 44:  IFM: 41472  OFM: 41472  Buf: 6912  Total: 89856
Op 45:  IFM: 41472  OFM: 6912  Buf: 6912  Total: 55296
Op 46:  IFM: 13824  OFM: 6912  Buf: 0  Total: 20736
Op 47:  IFM: 6912  OFM: 13824  Buf: 0  Total: 20736
Op 48:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 49:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 50:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 51:  IFM: 13824  OFM: 6912  Buf: 0  Total: 20736
Op 52:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 53:  IFM: 6912  OFM: 82944  Buf: 0  Total: 89856
Op 54:  IFM: 82944  OFM: 82944  Buf: 6912  Total: 172800
Op 55:  IFM: 82944  OFM: 82944  Buf: 6912  Total: 172800
Op 56:  IFM: 82944  OFM: 82944  Buf: 6912  Total: 172800
Op 57:  IFM: 82944  OFM: 6912  Buf: 6912  Total: 96768
Op 58:  IFM: 13824  OFM: 6912  Buf: 0  Total: 20736
Op 59:  IFM: 6912  OFM: 13824  Buf: 0  Total: 20736
Op 60:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 61:  IFM: 13824  OFM: 3456  Buf: 0  Total: 17280
Op 62:  IFM: 3456  OFM: 3456  Buf: 0  Total: 6912
Op 63:  IFM: 3456  OFM: 3456  Buf: 0  Total: 6912
Op 64:  IFM: 3456  OFM: 3456  Buf: 0  Total: 6912
Op 65:  IFM: 3456  OFM: 20736  Buf: 0  Total: 24192
Op 66:  IFM: 20736  OFM: 20736  Buf: 3456  Total: 44928
Op 67:  IFM: 20736  OFM: 20736  Buf: 3456  Total: 44928
Op 68:  IFM: 20736  OFM: 20736  Buf: 3456  Total: 44928
Op 69:  IFM: 20736  OFM: 3456  Buf: 3456  Total: 27648
Op 70:  IFM: 6912  OFM: 3456  Buf: 0  Total: 10368
Op 71:  IFM: 3456  OFM: 6912  Buf: 0  Total: 10368
Op 72:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 73:  IFM: 6912  OFM: 1728  Buf: 0  Total: 8640
Op 74:  IFM: 1728  OFM: 1728  Buf: 0  Total: 3456
Op 75:  IFM: 1728  OFM: 1728  Buf: 0  Total: 3456
Op 76:  IFM: 1728  OFM: 1728  Buf: 0  Total: 3456
Op 77:  IFM: 1728  OFM: 6912  Buf: 0  Total: 8640
Op 78:  IFM: 6912  OFM: 6912  Buf: 1728  Total: 15552
Op 79:  IFM: 6912  OFM: 6912  Buf: 1728  Total: 15552
Op 80:  IFM: 6912  OFM: 6912  Buf: 1728  Total: 15552
Op 81:  IFM: 6912  OFM: 1728  Buf: 1728  Total: 10368
Op 82:  IFM: 3456  OFM: 1728  Buf: 0  Total: 5184
Op 83:  IFM: 1728  OFM: 3456  Buf: 0  Total: 5184
Op 84:  IFM: 3456  OFM: 3456  Buf: 0  Total: 6912
Op 85:  IFM: 3456  OFM: 3456  Buf: 0  Total: 6912
Op 86:  IFM: 3456  OFM: 3456  Buf: 0  Total: 6912
Op 87:  IFM: 3456  OFM: 1728  Buf: 0  Total: 5184
Op 88:  IFM: 1728  OFM: 1728  Buf: 0  Total: 3456
Op 89:  IFM: 1728  OFM: 13824  Buf: 0  Total: 15552
Op 90:  IFM: 13824  OFM: 13824  Buf: 1728  Total: 29376
Op 91:  IFM: 13824  OFM: 13824  Buf: 1728  Total: 29376
Op 92:  IFM: 13824  OFM: 13824  Buf: 1728  Total: 29376
Op 93:  IFM: 13824  OFM: 1728  Buf: 1728  Total: 17280
Op 94:  IFM: 3456  OFM: 1728  Buf: 0  Total: 5184
Op 95:  IFM: 1728  OFM: 3456  Buf: 0  Total: 5184
Op 96:  IFM: 3456  OFM: 3456  Buf: 0  Total: 6912
Op 97:  IFM: 3456  OFM: 96  Buf: 0  Total: 3552
Op 98:  IFM: 96  OFM: 96  Buf: 0  Total: 192
Op 99:  IFM: 96  OFM: 100  Buf: 0  Total: 196
  Peak Memory Usage: Op 6 : 235008
  Op which_over_mem_cons: [6, 7, 8, 1, 18, 19, 20, 30, 31, 32, 0, 54, 55, 56, 9]

