Op 0:  IFM: 12288  OFM: 65536  Buf: 0  Total: 77824
Op 1:  IFM: 65536  OFM: 16384  Buf: 0  Total: 81920
Op 2:  IFM: 16384  OFM: 16384  Buf: 0  Total: 32768
Op 3:  IFM: 16384  OFM: 6144  Buf: 0  Total: 22528
Op 4:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 5:  IFM: 6144  OFM: 98304  Buf: 0  Total: 104448
Op 6:  IFM: 98304  OFM: 98304  Buf: 6144  Total: 202752
Op 7:  IFM: 98304  OFM: 98304  Buf: 6144  Total: 202752
Op 8:  IFM: 98304  OFM: 98304  Buf: 6144  Total: 202752
Op 9:  IFM: 98304  OFM: 6144  Buf: 6144  Total: 110592
Op 10:  IFM: 12288  OFM: 6144  Buf: 0  Total: 18432
Op 11:  IFM: 6144  OFM: 12288  Buf: 0  Total: 18432
Op 12:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 13:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 14:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 15:  IFM: 12288  OFM: 6144  Buf: 0  Total: 18432
Op 16:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 17:  IFM: 6144  OFM: 73728  Buf: 0  Total: 79872
Op 18:  IFM: 73728  OFM: 73728  Buf: 6144  Total: 153600
Op 19:  IFM: 73728  OFM: 73728  Buf: 6144  Total: 153600
Op 20:  IFM: 73728  OFM: 73728  Buf: 6144  Total: 153600
Op 21:  IFM: 73728  OFM: 6144  Buf: 6144  Total: 86016
Op 22:  IFM: 12288  OFM: 6144  Buf: 0  Total: 18432
Op 23:  IFM: 6144  OFM: 12288  Buf: 0  Total: 18432
Op 24:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 25:  IFM: 12288  OFM: 3072  Buf: 0  Total: 15360
Op 26:  IFM: 3072  OFM: 3072  Buf: 0  Total: 6144
Op 27:  IFM: 3072  OFM: 3072  Buf: 0  Total: 6144
Op 28:  IFM: 3072  OFM: 3072  Buf: 0  Total: 6144
Op 29:  IFM: 3072  OFM: 18432  Buf: 0  Total: 21504
Op 30:  IFM: 18432  OFM: 18432  Buf: 3072  Total: 39936
Op 31:  IFM: 18432  OFM: 18432  Buf: 3072  Total: 39936
Op 32:  IFM: 18432  OFM: 18432  Buf: 3072  Total: 39936
