model,mode,vmsize,time_ms,status
shuffle-im100-vm96-dupnas_w0.5_ir128,dupnas,96,2769,ok
shuffle-im100-vm96-nots_w0.5_ir32,nots,96,2694,ok
shuffle-im100-vm96-patchts_w0.5_ir96,patchts,96,2626,ok
shuffle-im100-vm96-tinyts_w0.5_ir96,tinyts,96,2632,ok
shuffle-im100-vm128-dupnas_w0.5_ir128,dupnas,128,2750,ok
shuffle-im100-vm128-nots_w0.5_ir64,nots,128,2802,ok
shuffle-im100-vm128-patchts_w0.5_ir96,patchts,128,2600,ok
shuffle-im100-vm128-tinyts_w0.5_ir96,tinyts,128,2602,ok
shuffle-im100-vm256-dupnas_w0.8_ir96,dupnas,256,2726,ok
shuffle-im100-vm256-nots_w0.5_ir96,nots,256,2734,ok
shuffle-im100-vm256-patchts_w0.5_ir128,patchts,256,2564,ok
shuffle-im100-vm256-tinyts_w0.8_ir96,tinyts,256,2733,ok
