Op 0:  IFM: 27648  OFM: 36864  Buf: 0  Total: 64512
Op 1:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 2:  IFM: 36864  OFM: 43776  Buf: 0  Total: 80640
Op 3:  IFM: 43776  OFM: 43776  Buf: 36864  Total: 124416
Op 4:  IFM: 36864  OFM: 43776  Buf: 43776  Total: 124416
Op 5:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 6:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 7:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 8:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 9:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 10:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 11:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 12:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 13:  IFM: 87552  OFM: 43776  Buf: 0  Total: 131328
Op 14:  IFM: 43776  OFM: 43776  Buf: 87552  Total: 175104
Op 15:  IFM: 87552  OFM: 43776  Buf: 43776  Total: 175104
Op 16:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 17:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 18:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 19:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 20:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 21:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 22:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 23:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 24:  IFM: 87552  OFM: 43776  Buf: 0  Total: 131328
Op 25:  IFM: 43776  OFM: 43776  Buf: 87552  Total: 175104
Op 26:  IFM: 87552  OFM: 43776  Buf: 43776  Total: 175104
Op 27:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 28:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 29:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 30:  IFM: 43776  OFM: 43776  Buf: 43776  Total: 131328
Op 31:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 32:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 33:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 34:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 35:  IFM: 87552  OFM: 87552  Buf: 0  Total: 175104
Op 36:  IFM: 87552  OFM: 87552  Buf: 87552  Total: 262656
Op 37:  IFM: 87552  OFM: 21888  Buf: 87552  Total: 196992
Op 38:  IFM: 21888  OFM: 21888  Buf: 87552  Total: 131328
Op 39:  IFM: 87552  OFM: 21888  Buf: 21888  Total: 131328
Op 40:  IFM: 21888  OFM: 21888  Buf: 21888  Total: 65664
Op 41:  IFM: 21888  OFM: 21888  Buf: 21888  Total: 65664
Op 42:  IFM: 21888  OFM: 21888  Buf: 21888  Total: 65664
Op 43:  IFM: 21888  OFM: 21888  Buf: 21888  Total: 65664
Op 44:  IFM: 43776  OFM: 43776  Buf: 0  Total: 87552
Op 45:  IFM: 43776  OFM: 43776  Buf: 0  Total: 87552
Op 46:  IFM: 43776  OFM: 43776  Buf: 0  Total: 87552
Op 47:  IFM: 43776  OFM: 43776  Buf: 0  Total: 87552
Op 48:  IFM: 43776  OFM: 21888  Buf: 0  Total: 65664
Op 49:  IFM: 21888  OFM: 21888  Buf: 43776  Total: 87552
Op 50:  IFM: 43776  OFM: 21888  Buf: 21888  Total: 87552
Op 51:  IFM: 21888  OFM: 21888  Buf: 21888  Total: 65664
Op 52:  IFM: 21888  OFM: 21888  Buf: 21888  Total: 65664
Op 53:  IFM: 21888  OFM: 21888  Buf: 21888  Total: 65664
Op 54:  IFM: 21888  OFM: 21888  Buf: 21888  Total: 65664
Op 55:  IFM: 43776  OFM: 43776  Buf: 0  Total: 87552
Op 56:  IFM: 43776  OFM: 43776  Buf: 0  Total: 87552
Op 57:  IFM: 43776  OFM: 43776  Buf: 0  Total: 87552
Op 58:  IFM: 43776  OFM: 43776  Buf: 0  Total: 87552
Op 59:  IFM: 43776  OFM: 44352  Buf: 0  Total: 88128
Op 60:  IFM: 44352  OFM: 44352  Buf: 43776  Total: 132480
Op 61:  IFM: 43776  OFM: 44352  Buf: 44352  Total: 132480
Op 62:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 63:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 64:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 65:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 66:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 67:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 68:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 69:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 70:  IFM: 88704  OFM: 44352  Buf: 0  Total: 133056
Op 71:  IFM: 44352  OFM: 44352  Buf: 88704  Total: 177408
Op 72:  IFM: 88704  OFM: 44352  Buf: 44352  Total: 177408
Op 73:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 74:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 75:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 76:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 77:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 78:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 79:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 80:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 81:  IFM: 88704  OFM: 44352  Buf: 0  Total: 133056
Op 82:  IFM: 44352  OFM: 44352  Buf: 88704  Total: 177408
Op 83:  IFM: 88704  OFM: 44352  Buf: 44352  Total: 177408
Op 84:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 85:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 86:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 87:  IFM: 44352  OFM: 44352  Buf: 44352  Total: 133056
Op 88:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
Op 89:  IFM: 88704  OFM: 88704  Buf: 0  Total: 177408
