Op 0:  IFM: 27648  OFM: 73728  Buf: 0  Total: 101376
Op 1:  IFM: 73728  OFM: 36864  Buf: 0  Total: 110592
Op 2:  IFM: 36864  OFM: 1728  Buf: 0  Total: 38592
Op 3:  IFM: 1728  OFM: 1728  Buf: 36864  Total: 40320
Op 4:  IFM: 36864  OFM: 1728  Buf: 1728  Total: 40320
Op 5:  IFM: 1728  OFM: 1728  Buf: 38592  Total: 42048
Op 6:  IFM: 1728  OFM: 1728  Buf: 38592  Total: 42048
Op 7:  IFM: 1728  OFM: 1728  Buf: 38592  Total: 42048
Op 8:  IFM: 36864  OFM: 1728  Buf: 3456  Total: 42048
Op 9:  IFM: 1728  OFM: 1728  Buf: 40320  Total: 43776
Op 10:  IFM: 1728  OFM: 1728  Buf: 40320  Total: 43776
Op 11:  IFM: 36864  OFM: 40000  Buf: 5184  Total: 82048
Op 12:  IFM: 40000  OFM: 36864  Buf: 5184  Total: 82048
Op 13:  IFM: 36864  OFM: 1728  Buf: 5184  Total: 43776
Op 14:  IFM: 1728  OFM: 1728  Buf: 5184  Total: 8640
Op 15:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 16:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 17:  IFM: 6912  OFM: 1728  Buf: 0  Total: 8640
Op 18:  IFM: 1728  OFM: 1728  Buf: 6912  Total: 10368
Op 19:  IFM: 6912  OFM: 1728  Buf: 1728  Total: 10368
Op 20:  IFM: 1728  OFM: 1728  Buf: 8640  Total: 12096
Op 21:  IFM: 1728  OFM: 1728  Buf: 8640  Total: 12096
Op 22:  IFM: 1728  OFM: 1728  Buf: 8640  Total: 12096
Op 23:  IFM: 6912  OFM: 1728  Buf: 3456  Total: 12096
Op 24:  IFM: 1728  OFM: 1728  Buf: 10368  Total: 13824
Op 25:  IFM: 1728  OFM: 1728  Buf: 10368  Total: 13824
Op 26:  IFM: 6912  OFM: 8112  Buf: 5184  Total: 20208
Op 27:  IFM: 8112  OFM: 6912  Buf: 5184  Total: 20208
Op 28:  IFM: 6912  OFM: 1728  Buf: 5184  Total: 13824
Op 29:  IFM: 1728  OFM: 1728  Buf: 5184  Total: 8640
Op 30:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 31:  IFM: 6912  OFM: 6912  Buf: 0  Total: 13824
Op 32:  IFM: 6912  OFM: 3456  Buf: 0  Total: 10368
Op 33:  IFM: 3456  OFM: 3456  Buf: 6912  Total: 13824
Op 34:  IFM: 6912  OFM: 3456  Buf: 3456  Total: 13824
Op 35:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 36:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 37:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 38:  IFM: 6912  OFM: 3456  Buf: 6912  Total: 17280
Op 39:  IFM: 3456  OFM: 3456  Buf: 13824  Total: 20736
Op 40:  IFM: 3456  OFM: 3456  Buf: 13824  Total: 20736
Op 41:  IFM: 6912  OFM: 8112  Buf: 10368  Total: 25392
Op 42:  IFM: 8112  OFM: 6912  Buf: 10368  Total: 25392
Op 43:  IFM: 6912  OFM: 3456  Buf: 10368  Total: 20736
Op 44:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 45:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 46:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 47:  IFM: 13824  OFM: 3456  Buf: 0  Total: 17280
Op 48:  IFM: 3456  OFM: 3456  Buf: 13824  Total: 20736
Op 49:  IFM: 13824  OFM: 3456  Buf: 3456  Total: 20736
Op 50:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 51:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 52:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 53:  IFM: 13824  OFM: 3456  Buf: 6912  Total: 24192
Op 54:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 55:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 56:  IFM: 13824  OFM: 16224  Buf: 10368  Total: 40416
Op 57:  IFM: 16224  OFM: 13824  Buf: 10368  Total: 40416
Op 58:  IFM: 13824  OFM: 3456  Buf: 10368  Total: 27648
Op 59:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 60:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 61:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 62:  IFM: 13824  OFM: 3456  Buf: 0  Total: 17280
Op 63:  IFM: 3456  OFM: 3456  Buf: 13824  Total: 20736
Op 64:  IFM: 13824  OFM: 3456  Buf: 3456  Total: 20736
Op 65:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 66:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 67:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 68:  IFM: 13824  OFM: 3456  Buf: 6912  Total: 24192
Op 69:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 70:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 71:  IFM: 13824  OFM: 16224  Buf: 10368  Total: 40416
Op 72:  IFM: 16224  OFM: 13824  Buf: 10368  Total: 40416
Op 73:  IFM: 13824  OFM: 3456  Buf: 10368  Total: 27648
Op 74:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 75:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 76:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 77:  IFM: 13824  OFM: 3456  Buf: 0  Total: 17280
Op 78:  IFM: 3456  OFM: 3456  Buf: 13824  Total: 20736
Op 79:  IFM: 13824  OFM: 3456  Buf: 3456  Total: 20736
Op 80:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 81:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 82:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 83:  IFM: 13824  OFM: 3456  Buf: 6912  Total: 24192
Op 84:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 85:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 86:  IFM: 13824  OFM: 18816  Buf: 10368  Total: 43008
Op 87:  IFM: 18816  OFM: 13824  Buf: 10368  Total: 43008
Op 88:  IFM: 13824  OFM: 3456  Buf: 10368  Total: 27648
Op 89:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 90:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 91:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 92:  IFM: 13824  OFM: 3456  Buf: 0  Total: 17280
Op 93:  IFM: 3456  OFM: 3456  Buf: 13824  Total: 20736
Op 94:  IFM: 13824  OFM: 3456  Buf: 3456  Total: 20736
Op 95:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 96:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 97:  IFM: 3456  OFM: 3456  Buf: 17280  Total: 24192
Op 98:  IFM: 13824  OFM: 3456  Buf: 6912  Total: 24192
Op 99:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 100:  IFM: 3456  OFM: 3456  Buf: 20736  Total: 27648
Op 101:  IFM: 13824  OFM: 18816  Buf: 10368  Total: 43008
Op 102:  IFM: 18816  OFM: 13824  Buf: 10368  Total: 43008
Op 103:  IFM: 13824  OFM: 3456  Buf: 10368  Total: 27648
Op 104:  IFM: 3456  OFM: 3456  Buf: 10368  Total: 17280
Op 105:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 106:  IFM: 13824  OFM: 13824  Buf: 0  Total: 27648
Op 107:  IFM: 13824  OFM: 96  Buf: 0  Total: 13920
Op 108:  IFM: 96  OFM: 96  Buf: 0  Total: 192
Op 109:  IFM: 96  OFM: 100  Buf: 0  Total: 196
  Peak Memory Usage: Op 1 : 110592
  Op which_over_mem_cons: [1, 0]

